Model,RMSE,MAE,R2
RandomForest,1.1076447343410403,0.8702279043913285,-0.04816625104293082
ExtraTrees,1.123949390366068,0.877917361497128,-0.07925162154617005
XGBoost,1.087835967606459,0.8488880255326355,-0.011011337117085462
LightGBM,1.1114124865662363,0.8787660710696795,-0.055309240906257884
CatBoost,1.0715118712743497,0.8422329678553917,0.019103530126984625
